Pressure,Elevation,Region_Type,ID
5.74507123,4.861735699,Suburban Low Pressure,1
5.971532807,6.523029856,Suburban Low Pressure,2
4.648769938,4.765863043,Suburban Low Pressure,3
7.368819223,5.767434729,Suburban Low Pressure,4
4.295788421,5.542560044,Suburban Low Pressure,5
4.304873461,4.534270246,Suburban Low Pressure,6
5.362943407,3.086719755,Suburban Low Pressure,7
2.412623251,4.437712471,Suburban Low Pressure,8
3.480753319,5.314247333,Suburban Low Pressure,9
3.637963887,3.587696299,Suburban Low Pressure,10
7.198473153,4.7742237,Suburban Low Pressure,11
5.101292307,3.575251814,Suburban Low Pressure,12
4.183425913,5.11092259,Suburban Low Pressure,13
3.273509634,5.375698018,Suburban Low Pressure,14
4.099041965,4.70830625,Suburban Low Pressure,15
4.097440082,6.852278185,Suburban Low Pressure,16
4.979754163,3.942289071,Suburban Low Pressure,17
6.233817368,3.77915635,Suburban Low Pressure,18
5.313295393,3.040329876,Suburban Low Pressure,19
3.007720927,5.196861236,Suburban Low Pressure,20
6.10769987,5.171368281,Suburban Low Pressure,21
4.826527576,4.698896304,Suburban Low Pressure,22
2.782217014,4.280155792,Suburban Low Pressure,23
4.309041844,6.057122226,Suburban Low Pressure,24
5.515427434,3.236959845,Suburban Low Pressure,25
5.486125954,4.61491772,Suburban Low Pressure,26
3.984617,5.611676289,Suburban Low Pressure,27
6.546499284,5.931280119,Suburban Low Pressure,28
3.741173715,4.690787624,Suburban Low Pressure,29
5.496895147,5.975545127,Suburban Low Pressure,30
4.281238643,4.814341023,Suburban Low Pressure,31
3.340497539,3.803793376,Suburban Low Pressure,32
6.218788734,6.356240029,Suburban Low Pressure,33
4.891984818,6.003532898,Suburban Low Pressure,34
5.542454038,4.354880245,Suburban Low Pressure,35
5.542093408,6.538036566,Suburban Low Pressure,36
4.946260941,6.564643656,Suburban Low Pressure,37
1.070382344,5.821902504,Suburban Low Pressure,38
5.130570602,4.70099265,Suburban Low Pressure,39
5.137641165,3.012431085,Suburban Low Pressure,40
4.670492168,5.357112572,Suburban Low Pressure,41
7.216841067,4.481729782,Suburban Low Pressure,42
3.787259596,4.498242956,Suburban Low Pressure,43
6.373103177,5.32875111,Suburban Low Pressure,44
4.205359694,5.513267433,Suburban Low Pressure,45
5.145616324,5.968644991,Suburban Low Pressure,46
3.946920359,4.672337853,Suburban Low Pressure,47
4.41183777,3.536485052,Suburban Low Pressure,48
5.444180416,5.261055272,Suburban Low Pressure,49
5.007670185,4.765412867,Suburban Low Pressure,50
13.58462926,4.369032016,Industrial High Pressure,51
14.65728548,3.796584096,Industrial High Pressure,52
14.83871429,5.606076285,Industrial High Pressure,53
16.8861859,5.261866719,Industrial High Pressure,54
15.25755039,4.888331126,Industrial High Pressure,55
13.08122878,4.960229187,Industrial High Pressure,56
15.06023021,8.694863169,Industrial High Pressure,57
14.80763904,5.452321014,Industrial High Pressure,58
14.96528823,3.246982944,Industrial High Pressure,59
16.14282281,6.127899549,Industrial High Pressure,60
15.79103195,3.635918818,Industrial High Pressure,61
16.40279431,2.897223406,Industrial High Pressure,62
15.58685709,8.285683439,Industrial High Pressure,63
14.00946367,4.150553406,Industrial High Pressure,64
15.09965137,4.244786519,Industrial High Pressure,65
13.44933657,5.102844462,Industrial High Pressure,66
13.93769629,5.710388646,Industrial High Pressure,67
14.08057577,7.324901608,Industrial High Pressure,68
14.21674671,4.516907726,Industrial High Pressure,69
15.81351722,3.153703525,Industrial High Pressure,70
15.22745993,6.960714131,Industrial High Pressure,71
13.39251677,5.276950788,Industrial High Pressure,72
15.25988279,6.172734308,Industrial High Pressure,73
13.76304929,3.01931508,Industrial High Pressure,74
15.52194157,5.44547701,Industrial High Pressure,75
15.25049285,5.519672314,Industrial High Pressure,76
14.31997528,5.348380546,Industrial High Pressure,77
15.29307247,3.928472873,Industrial High Pressure,78
16.86577451,5.710749381,Industrial High Pressure,79
13.8086965,5.984830413,Industrial High Pressure,80
14.02531833,6.180626906,Industrial High Pressure,81
16.15859558,3.768976522,Industrial High Pressure,82
15.96337613,5.61917139,Industrial High Pressure,83
15.82206016,7.845189474,Industrial High Pressure,84
14.75461188,3.869395753,Industrial High Pressure,85
14.11048557,3.776284573,Industrial High Pressure,86
14.92289829,5.511727962,Industrial High Pressure,87
15.2766908,6.240774874,Industrial High Pressure,88
15.01300189,7.180301116,Industrial High Pressure,89
14.73534317,9.08025375,Industrial High Pressure,90
15.62566735,3.714263665,Industrial High Pressure,91
13.9291075,5.723708623,Industrial High Pressure,92
14.77653721,6.071000741,Industrial High Pressure,93
15.47323762,4.890756631,Industrial High Pressure,94
14.15320628,2.727729163,Industrial High Pressure,95
14.55348505,6.284598191,Industrial High Pressure,96
15.21409374,3.131391832,Industrial High Pressure,97
15.17318093,5.57797607,Industrial High Pressure,98
14.11614256,5.230587659,Industrial High Pressure,99
15.05820872,3.285544553,Industrial High Pressure,100
10.53668104,15.84117679,Elevated Medium Pressure,101
11.62457686,16.58070308,Elevated Medium Pressure,102
7.933495948,13.59326244,Elevated Medium Pressure,103
10.7725529,15.77067893,Elevated Medium Pressure,104
10.77257153,20.77909724,Elevated Medium Pressure,105
10.85633577,16.70334846,Elevated Medium Pressure,106
11.43100265,15.97708688,Elevated Medium Pressure,107
9.527096133,16.13845383,Elevated Medium Pressure,108
8.840762178,14.64477209,Elevated Medium Pressure,109
9.271954678,15.12281121,Elevated Medium Pressure,110
13.47198785,12.19910221,Elevated Medium Pressure,111
11.02939029,12.58092619,Elevated Medium Pressure,112
9.292102201,16.6334259,Elevated Medium Pressure,113
10.09642003,13.38338283,Elevated Medium Pressure,114
8.927044436,16.01939662,Elevated Medium Pressure,115
8.904450052,15.32468788,Elevated Medium Pressure,116
10.06835776,14.02259948,Elevated Medium Pressure,117
13.21591613,15.95087853,Elevated Medium Pressure,118
6.96228612,15.27968147,Elevated Medium Pressure,119
9.007320303,16.27865,Elevated Medium Pressure,120
8.811218892,14.82789534,Elevated Medium Pressure,121
10.75748092,16.29863279,Elevated Medium Pressure,122
8.199555389,14.49824815,Elevated Medium Pressure,123
9.287582033,14.02000615,Elevated Medium Pressure,124
12.64818136,15.60747257,Elevated Medium Pressure,125
8.108674068,16.37679292,Elevated Medium Pressure,126
13.1832343,16.54869789,Elevated Medium Pressure,127
7.720945051,14.27364889,Elevated Medium Pressure,128
11.90036672,13.9384958,Elevated Medium Pressure,129
10.66572914,16.16195108,Elevated Medium Pressure,130
8.609604293,14.91071197,Elevated Medium Pressure,131
5.13809899,13.46341854,Elevated Medium Pressure,132
9.621147773,13.12832523,Elevated Medium Pressure,133
12.44861696,12.85478793,Elevated Medium Pressure,134
9.33993327,15.19611087,Elevated Medium Pressure,135
12.16190993,12.84620677,Elevated Medium Pressure,136
11.74474563,15.01534959,Elevated Medium Pressure,137
8.527737023,15.69315521,Elevated Medium Pressure,138
10.29858954,14.09967468,Elevated Medium Pressure,139
10.10470313,14.4220296,Elevated Medium Pressure,140
10.17027602,15.99319601,Elevated Medium Pressure,141
12.37902522,13.14327675,Elevated Medium Pressure,142
13.19955006,12.0718683,Elevated Medium Pressure,143
9.772322357,15.88247581,Elevated Medium Pressure,144
10.4214878,14.06595072,Elevated Medium Pressure,145
9.687816624,14.2604986,Elevated Medium Pressure,146
9.115952865,16.27440315,Elevated Medium Pressure,147
10.53552323,13.96063561,Elevated Medium Pressure,148
11.34939981,15.46094928,Elevated Medium Pressure,149
11.21929318,15.94444326,Elevated Medium Pressure,150
